depth	Lindavia_aff._minuta_(Cyclotella_minuta)	Aulacoseira_subarctica	Stephanodiscus_sp.	Cyclotella_antiqua_Smith.	Lindavia_ocellata	Discostella_stelligera	Tabellaria_flocculosa	Ellerbekia_arenaria	Pseudostaurosira_parasitica var. subconstricta	Staurosira_pseudoconstruens	Staurosira_binodis_(Pseudostaurosira_construens_var._binodis)	Staurosira_lapponica	Staurosirella_leptostauron	Punctistriata_discoidea	Other_benthic	Planktonic	Planktonic-benthic	Benthic	D_(Total_diatoms)	S_(Stomatocysts)
1	88.8	130.8	1.8	0	0.8	0	0	0	0	7.2	0	0.4	8.2	0	3	221.4	0.8	18.8	241	9.6
2	197	223.4	10.6	0.6	3.2	1.2	0.4	0	4.6	4.6	16	0.2	14.6	2	26	431.6	9.4	63.4	504.4	17.2
3	281.2	304.2	11.2	0	0.6	0	1	1.2	13.8	15.2	0	1.2	19.6	2	24	596.6	16.6	62	675.2	22.4
4	407.6	727.2	22.2	0	0.2	0	0.2	0	26.6	24.6	13.2	0.8	14.4	6	62.8	1157	27	121.8	1305.8	32.8
5	112.8	188.8	6.8	2	0	0.4	0	0	6.6	0.6	0	0.4	11.6	2.8	20.4	310.4	7	35.8	353.2	7.6
6	237.8	233.6	14.4	0.8	0	0	0.4	0.4	12.2	6.6	5.2	2	5.6	2	52.6	486.6	13	74	573.6	26.4
7	153	343.2	11.8	2.8	0	0	0	0.4	3.6	3	0	0.4	3.8	1.2	16	510.8	4	24.4	539.2	16.4
8	332.8	180.4	27.2	0	0	0	0	0.6	9.4	5	8	0.4	9.6	3.6	25	540.4	10	51.6	602	35
9	23.2	50.6	3.2	0	0	0	0.2	0	6.2	2	0	0	3.2	0.6	6	77	6.4	11.8	95.2	12.4
10	307	126.4	27.6	0	0	1.4	0	0.2	8.6	7.6	0	0.4	9.2	1	16.2	461	10.2	34.4	505.6	35
11	259.2	250.2	7.6	0	0.6	0.2	0	0.8	6.6	7.6	0	1.2	10.6	1	13.8	517	8.2	34.2	559.4	20.2
12	254	454.8	17.6	0	0	0	0	0	0	10.8	6.4	2.8	17.6	4.8	26	726.4	0	68.4	794.8	50.8
13	124.2	121.2	1.6	0	0	0	0	0	4.8	3.4	0	0.4	5	0.8	6	247	4.8	15.6	267.4	17
14	217.8	266.6	10.4	0	0	0	0.2	0.2	10.4	6	0	1.4	13.2	0.2	12.4	494.8	10.8	33.2	538.8	24.2
15	146	157.8	1.6	2	0	0	0.6	0	0	3.4	2.4	0	7.6	1.2	7.6	307.4	0.6	22.2	330.2	9.2
16	149.6	223.2	13.8	1.2	0.6	1.4	0	0	4	7.8	0	2.6	8.4	7	24.6	387.8	6	50.4	444.2	17
17	77	439.2	2.8	0	0	0	0.2	0	11	4.2	0	0.4	7.6	0.4	5	519	11.2	17.6	547.8	11.4
18	136.4	463.2	9.8	0.4	0.8	0	0	0	5	9	0	1.8	8.8	0.4	17.2	609.8	5.8	37.2	652.8	17.6
