√ÎÛ·ËÌ‡	Lindavia_aff._minuta_(Cyclotella_minuta)	Aulacoseira_subarctica	Stephanodiscus_sp.	Cyclotella_antiqua_Smith.	Lindavia_ocellata	Discostella_stelligera	Tabellaria_flocculosa	Ellerbekia_arenaria	Pseudostaurosira_parasitica†var.†subconstricta	Staurosira_pseudoconstruens	Staurosira_binodis_(Pseudostaurosira_construens_var._binodis)	Staurosira_lapponica	Staurosirella_leptostauron	Punctistriata_discoidea	Other_benthic
1	88.8	130.8	1.8	0	0.8	0	0	0	0	7.2	0	0.4	8.2	0	3
2	197	223.4	10.6	0.6	3.2	1.2	0.4	0	4.6	4.6	16	0.2	14.6	2	26
3	281.2	304.2	11.2	0	0.6	0	1	1.2	13.8	15.2	0	1.2	19.6	2	24
4	407.6	727.2	22.2	0	0.2	0	0.2	0	26.6	24.6	13.2	0.8	14.4	6	62.8
5	112.8	188.8	6.8	2	0	0.4	0	0	6.6	0.6	0	0.4	11.6	2.8	20.4
6	237.8	233.6	14.4	0.8	0	0	0.4	0.4	12.2	6.6	5.2	2	5.6	2	52.6
7	153	343.2	11.8	2.8	0	0	0	0.4	3.6	3	0	0.4	3.8	1.2	16
8	332.8	180.4	27.2	0	0	0	0	0.6	9.4	5	8	0.4	9.6	3.6	25
9	23.2	50.6	3.2	0	0	0	0.2	0	6.2	2	0	0	3.2	0.6	6
10	307	126.4	27.6	0	0	1.4	0	0.2	8.6	7.6	0	0.4	9.2	1	16.2
11	259.2	250.2	7.6	0	0.6	0.2	0	0.8	6.6	7.6	0	1.2	10.6	1	13.8
12	254	454.8	17.6	0	0	0	0	0	0	10.8	6.4	2.8	17.6	4.8	26
13	124.2	121.2	1.6	0	0	0	0	0	4.8	3.4	0	0.4	5	0.8	6
14	217.8	266.6	10.4	0	0	0	0.2	0.2	10.4	6	0	1.4	13.2	0.2	12.4
15	146	157.8	1.6	2	0	0	0.6	0	0	3.4	2.4	0	7.6	1.2	7.6
16	149.6	223.2	13.8	1.2	0.6	1.4	0	0	4	7.8	0	2.6	8.4	7	24.6
17	77	439.2	2.8	0	0	0	0.2	0	11	4.2	0	0.4	7.6	0.4	5
18	136.4	463.2	9.8	0.4	0.8	0	0	0	5	9	0	1.8	8.8	0.4	17.2
19	57.6	377.2	2.4	1.2	0	0	0	0	2	2	0	0.4	4.4	0	2.4
20	152.8	841.6	11.6	0.8	0.4	0	0	0.2	3.4	2.8	2.8	3.4	7.8	1.6	13.2
21	40	254.8	1.2	0.2	0	0	0.2	0	0	2	0	0	1.2	0.4	4
22	46.8	119.2	1.2	0	0.4	0	0	0.2	0.2	0	0	0.2	0.8	0.8	1.6
23	125.6	899	4.6	0.4	2.4	1.6	0	0	4.8	1.6	0	1.6	9.2	0.4	9.4
24	118.4	741.6	4.6	0	7	0.6	0	0	0.4	5	5.6	1.6	3	1.2	7.6
25	119.8	979.2	2.2	1.8	47.2	0.4	0	0	6.6	5.2	3.4	1.4	5.6	0	9.2
26	40	297.4	0.8	1	122.2	3.2	0.4	0	1.2	0.2	0	0.2	4	0.8	4.6
27	27.2	80.8	2.2	0	0	0.8	0	0	1.2	3.6	0	0.2	6.6	1	2
28	158	1491.2	4.4	1.2	112.8	0	0	0	6.4	3.2	6.4	6	10.8	3.2	16.4
29	78	113	1.2	0.2	45	0	0	0	0.8	0	0.4	0	1.6	0	4.4
30	127.8	0.8	0	0.8	99.6	0	0	0	2.8	4	1	1	10.2	4.4	6.4
31	22.8	2.2	0	0.6	51.8	1.6	0	0	0.8	2.4	0	0	3.8	0.4	2
32	295.6	0	0	0.8	557.2	0.8	0.8	0	15.2	18.4	13.6	2.8	61.6	4.8	63.6
33	141.2	1	0	1.4	202.4	0	0	0.4	2.8	3.8	1.2	0.4	8.6	1	10.4
34	62.2	0	2.8	0	51	0	0	0	0	0	0	0	0	0	9.6
35	46.8	0.2	0	0.4	43.8	0	0.4	0	1.6	1	0.4	0	5.4	1.2	10.6
36	27	2.2	1.2	0	6	0	0	0	0.6	3.4	0	0.4	14	1.2	20.8
37	49.6	0	2.6	1.4	24.4	0	0	0	3.4	5	2.4	3.6	46.4	3.2	20.8
38	27	1	0.2	0.4	9	0.2	0	0	1	1.6	0.4	0	21.6	1	13.2
39	97.4	5.2	4.8	1.6	109.6	0.8	0.2	0	6	8.8	1.2	0.2	30.2	1.6	11.4
40	115.8	0	0	0.8	129.2	0	0	0	0.2	1	0	0	18.8	1.6	10
41	115.8	2	30.8	1.6	142.6	1	0.4	0.2	0	1.8	2.6	0.4	0	0	7.8
42	69.4	0	14.4	1.2	63.4	1.2	0	0	0	2.6	0	0.2	2.8	0	4.4
43	95.2	6.4	11.6	0.4	133.4	0.2	0	0.2	1.4	2.6	1.2	0	0	0.4	5.8
44	83	18.8	14.4	0.4	100.2	0.4	0	0	3.6	2.8	0	0	1.6	0.4	3.2
45	105.2	76.8	18	0.4	49.4	0.8	0	0	0.6	0.8	1.6	0	0	0	8.8
46	369.4	0	48.8	1.2	153.4	0	0.2	0	2.6	7	0	0.8	2	2.4	14.4
47	62.2	1	6	0.8	57	0	0	0	2	0.8	0	0	0.6	0	4.4
48	180.4	0.2	12.8	1.6	91.8	0	0	0	3.6	1.2	0.4	0	0	0	7.8
49	175.2	0	9.6	1.4	66.8	0	0	0.6	2.8	3.2	0	0.4	0.8	0	8.6
50	116.4	0.8	5.2	1.2	36	0	0	0	0	3	0	0	2	0.4	1.4
51	193.4	0	11	3.6	85.8	0	0	0	2.2	2.6	6	0	1.8	0.6	8.4
52	105.2	1	3.2	0.6	37	0	0	0	1.4	0	1.4	0	2.8	0.4	3.8
53	235	74.4	14.6	2.2	99.8	0.8	0	0	4.6	5.6	0.8	0.4	1.2	0.8	8.6
54	167.4	86.2	11.6	0.4	60.8	0	0	0	3.6	3.8	0	0.4	2	0	14
55	379.6	27.6	24.6	0.4	127.6	0	0.2	1.2	7.6	11.2	0	0	6.8	0	13.4
56	187.6	22.6	4.4	1.6	95.8	0	0.2	0	4.4	2	6	0.8	1.2	1.2	7.4
57	105.6	37.8	7.2	1.4	49.2	0	0	0.8	0	1.6	0.6	0.2	0.6	0.2	0
58	94	44.2	3.8	1.4	72	0	0	0	0.8	5.6	2.8	0	0.8	1.6	5
59	124	40.8	0	2.2	88.4	0	0	0.4	3	5.4	0	0	0.4	0.8	2.6
60	273.2	13.4	0	2	180.8	0	0	0	6.8	6.4	0	0.8	3.4	3.6	11.6
61	166.4	9	0	1.4	84	0	0.2	0	3.2	8.6	0	0.4	2	0.2	16.4
62	133.6	0	0	0.8	64.8	0	0	0	3.6	2.6	2.2	0	3.2	1.2	11.2
63	149.8	0.6	0	0	37.8	0	0	0	1.4	0	0.2	0	2.6	0	4.4
64	148.8	0	2.2	1.2	61.2	0	0	0	1.6	1.2	0	0.4	1.2	0.2	7
65	87.8	0	10.4	0.8	73.6	0	0	0	3.2	5.2	3.8	0	2	1.4	10.6
66	33.8	0	3.8	0.4	21.4	0	0	0	0.4	0	0	0.4	0	0.2	2
67	228	0	17.4	2	102.8	0.8	0	0	4.2	11	4	2.2	3.4	2	8.4
68	245.4	0	8	1	113.4	0	0.2	0	1.6	4.2	1.8	0.6	4.6	2.8	6.4
69	52.4	0	6.2	0.2	37.4	0	0	0	0.2	4.6	2.4	0	4.6	0	3.6
70	182.8	0	56	0.2	118.4	0	0.4	0	10.6	7.2	7.8	0.4	1.8	1.6	12.4
71	289.8	0	92.4	1.2	67.6	0	0	0	6.8	13.4	0	0.4	0.8	1.8	9.6
72	182.2	0.4	19	0.2	39.6	0	0	0	0	2	0	0	4.6	1	4.4
73	279	1.2	77.2	0.8	84.8	0	0.2	0	10	0	0	0.2	6	2.4	13
74	169	1.2	19.2	0	80	0	0.4	0	1.6	7.4	4	0	1.6	1	3.6
75	165.2	0.8	38.8	1	66	0	0.2	0	1	9.4	0.6	0.4	2	2.4	8.8
76	132	0	31.8	0.8	86.4	0	0.2	0.2	5.6	10.2	0	0	1.2	0.8	8.4
77	78.4	1	10.4	2.2	81.8	0	0	0	0.2	1.4	1.4	0	1.4	1.2	4.8
78	58.2	1.6	14	1.4	66	0.4	0.8	0	6.4	3	0	0.6	1	1.2	11.6
79	178	0	22.4	1.4	86.4	0	0	0	3	2.2	1.4	0.2	5.6	1	10.6
80	125.4	0	11.2	1.6	62.8	1.2	0	0	3	4.6	1.6	0	1.8	0	7.2
81	110.2	0	10.6	1.2	74.6	0.8	0	0	2.8	2.2	3.2	0.2	2.8	1.4	6.8
82	138.6	4	12	0.8	113.2	0	0	0	0	0	0	0	0	0	21.2
83	113.8	16.4	24	1.2	77.2	0	0.2	0	7.6	4	0	0.4	1.6	0	8
84	115.8	2.8	7.8	0.4	62.8	0	0	0	0	1.2	0.4	0	6.2	0	1.8
85	51.4	9.2	3.2	0.8	21.4	0	0	0	0	0.2	0	0	0.8	0	1.8
